รหัสสินค้า,ชื่อสินค้า,จำนวนขวด/ลัง, ปริมาณลิตร/ขวด ,แอลกอฮอล %,พิกัด,ชนิดสินค้า,ประเทศ,เลข 28 หลัก,วันที่ 28 หลัก,สต็อก,Invoice No: ,วันที่ Invoice ,ใบขนขาเข้า,วันที่ใบขน,รายการที่,เลขที่ใบอนุญาต,วันที่ใบอนุญาต,เลขที่ กนอ.ขาเข้า,วันที่ กนอ., จำนวนสินค้าเข้า , ราคา ,เรตไทย,เงินรวม,จำนวนสินค้าคงเหลือ,ราคาต้นทุน (บาท),ชื่อภาษาไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-001,ALMAVIVA 2015 ,6, 0.750 ,14.50%,22042111,ไวน์,CL,1301020100CzM000000333DE0701,  29/08/2018,หลัก,,,,,,,,,,,,,,,,อัลมาวีว่า  2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-002,ALMAVIVA 2014 ,6, 0.750 ,15.00%,22042111,ไวน์,CL,1301020200I5F000000030140701,13/11/2018,หลัก,,,,,,,,,,,,,,,,อัลมาวีว่า  2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-003,ALMAVIVA VIN CHILIEN 2015,6, 0.750 ,14.50%,22042111,ไวน์,CL,1301020200DGS000000330140701,02/02/2018,หลัก,,,,,,,,,,,,,,,,อัลมาวีว่า วิน ชิลิน 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-004,ABSOLUT 100 ,12, 1.000 ,50.00%,22086000,วอดก้า,SE,1302020200BuF000000819Bh0701,04/07/2018,พิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,2,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,110, 87.00 ,32.8452," 314,328.56 ",110," 2,857.53 ",แอ็บโซลูท 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-005,ABSOLUT RUBY RED,11, 1.000 ,40.00%,22086000,วอดก้า,SE,13020202003hE000000259Bh0701,04/07/2018,พิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,3,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,1, 77.00 ,32.8452," 2,529.08 ",1," 2,529.08 ",แอปโซลูทวอดก้า 1ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-006,AYITA CABERNET SAUVIGNON SILVER 2012 ,12, 0.750 ,13.50%,22042111,ไวน์,CL,1301020100H8A000000313hE0701,10/09/2018,หลัก,JLD12/2018  ,04/09/2018,A0130610909085,13/09/2018,1,2561/0050-61-853-00435,11/09/2018,3-2-42-114049-2561,12/01/2018,565, 11.00 ,33.1120," 205,791.08 ",140, 364.23 ,อายิต้า ซิวเวอร์ 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-006,AYITA CABERNET SAUVIGNON SILVER 2012 ,12, 0.750 ,13.50%,22042111,ไวน์,CL,1301020100H8A000000313hE0701,10/09/2018,หลัก,JLD13/2018  , 07/09/2018,A0130610913074,13/09/2018,15,2561/0050-61-853-00436,11/09/2018,3-2-42-114049-2561,12/01/2018,300, 11.00 ,33.1120," 109,269.60 ",300, 364.23 ,อายิต้า ซิวเวอร์ 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-006,AYITA CABERNET SAUVIGNON SILVER 2012 ,12, 0.750 ,13.50%,22042111,ไวน์,CL,1301020100H8A000000313hE0701,10/09/2018,หลัก,JLD02/2020  ,05/02/2020,A0210630204389,21/02/2020,1,2563/0050-63-853-00181,07/02/2020,3-2-42-000175-2563,15/01/2020,100, 18.00 ,30.5822," 55,047.96 ",100, 550.48 ,อายิต้า ซิวเวอร์ 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-007,AYITA CABERNET SAUVIGNON RED 2013 ,12, 0.750 ,13.00%,22042111,ไวน์,CL,1301020100H8E000000303hE0701,10/09/2018,หลัก ,,,,,,,,,,,,,,,,อายิต้า ซิวเวอร์ 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-001,BALLANTINE S 12YO  ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202005Nr000000250150701,02/02/2018,หลัก,JLD05/2019,29/04/2019,A0080620507581,08/06/2019,1,2562/0050-62-853-00223,30/04/2019,3-2-42-114049-2561,12/01/2018,40, 166.00 ,32.0022," 212,494.61 ",18," 5,312.37 ",บาเลนไทน์ 12 ปี   1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-001,BALLANTINE S 12YO  ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202005Nr000000250150701,02/02/2018,หลัก,JLD04/2020 ,17/03/2020,A0250630307131,19/03/2020,9,2563/0050-63-853-00240,18/03/2020,3-2-42-000175-2563,15/01/2020,30, 165.00 ,31.3800," 155,331.00 ",30," 5,177.70 ",บาเลนไทน์ 12 ปี   1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-002,BALLANTINE S 17YO,12, 0.700 ,40.00%,22083000,วิสกี้,GB,130202020030t000000250130701,30/03/2018,หลัก,JLD03/2019 , 11/03/2019,A0150620308756,15/03/2019,1,2562/0050-62-853-00169,12/03/2019,3-2-42-118498-2562,11/01/2019,150, 360.00 ,31.3607," 1,693,477.80 ",2," 11,289.85 ",บาเลนไทน์ 17 ปี  0.70 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-003,BALLANTINE S 17YO ,12, 0.750 ,40.00%,22083000,วิสกี้,GB,130202020030t000000250140701,10/10/2017,หลัก ,,,,,,,,,,,,,,,,บาเลนไทน์ 17 ปี  0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-004,BALLANTINE S 21YO ,12, 0.700 ,40.00%,22083000,วิสกี้,GB,130202020031k000000250130701,10/10/2017,หลัก,JLD08/2019  ,26/07/2019,A0080620812781,08/08/2019,6,2562/0050-62-853-00301,02/08/2019,3-2-42-118498-2562,11/01/2019,150, 610.00 ,31.0324," 2,839,464.60 ",23," 18,929.76 ",บาเลนไทน์ 21 ปี  0.70 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-004,BALLANTINE S 21YO ,12, 0.700 ,40.00%,22083000,วิสกี้,GB,130202020031k000000250130701,10/10/2017,หลัก,JLD13/2019 ,01/11/2019,A0120621100553,11/11/2019,2,2563/0050-63-853-00047,07/11/2019,3-2-42-118498-2562,11/01/2019,145, 536.00 ,30.4598," 2,367,335.66 ",145," 16,326.45 ",บาเลนไทน์ 21 ปี  0.70 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-005,BALLANTINE S 30YO  ,6, 0.700 ,40.00%,22083000,วิสกี้,GB,130202020030u000000250130701,12/12/2018,หลัก,JLD08/2019  ,26/07/2019,A0080620812781,08/08/2019,7,2562/0050-62-853-00301,02/08/2019,3-2-42-118498-2562,11/01/2019,10," 1,030.00 ",31.0324," 319,633.72 ",5," 31,963.37 ",บาเลนไทน์  30 ปี  0.70 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-005,BALLANTINE S 30YO  ,6, 0.700 ,40.00%,22083000,วิสกี้,GB,130202020030u000000250130701,12/12/2018,หลัก,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,8,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,5," 1,030.00 ",30.7012," 158,111.18 ",5," 31,622.24 ",บาเลนไทน์  30 ปี  0.70 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-006,BALLANTINE S FINEST ,12, 0.750 ,40.00%,22083000,วิสกี้,UK,130202020030S000000250140701,01/08/2018,หลัก,,,,,,,,,,,,,,,,บาเลนไทน์ ฟายเนส 0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-007,BALLANTINE S FINEST,12, 1.000 ,40.00%,22083000,วิสกี้,GB,130202020030S000000259Ba0701,02/02/2018,หลัก ,JLD01/2019 ,  25/01/2019,A0300620107141,30/01/2019,1,2562/0050-62-853-00121,28/01/2019,3-2-42-118498-2562,11/01/2019,800, 97.00 ,32.8609," 2,550,005.84 ",48," 3,187.51 ",บาเลนไทน์ ฟายเนส 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-008,BALVENIE 12YO DOUBLEWOOD ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200DNO000000250150701,02/02/2018,หลัก ,,,,,,,,,,,,,,,,บาร์เวนนี่ 12 ปี  1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-009,BALVENIE 14YO CARRIBEAN CASK ,6, 0.700 ,43.00%,22083000,วิสกี้,GB,1302020200VgG000000bS0130701,12/12/2018,หลัก,JLD05/2019,29/04/2019,A008062050758,08/05/2019,4,2562/0050-62-853-00223,30/04/2019,3-2-42-118498-2562,11/01/2019,10, 240.00 ,32.0022," 76,805.28 ",10," 7,680.53 ",บาร์เวนนี่ 14 ปี  คาริเบน,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-009,BALVENIE 14YO CARRIBEAN CASK ,6, 0.700 ,43.00%,22083000,วิสกี้,GB,1302020200VgG000000bS0130701,12/12/2018,หลัก,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,2,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,10, 330.00 ,30.7012," 101,313.96 ",10," 10,131.40 ",บาร์เวนนี่ 14 ปี  คาริเบน,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-010,BALVENIE 17YO DOUBLEWOOD ,6, 0.700 ,43.00%,22083000,วิสกี้,GB,1302020200RWa000000670130701,02/02/2018,หลัก,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,4,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,30, 495.00 ,30.7012," 455,912.82 ",25," 15,197.09 ",บาร์เวนนี่ 17 ปี  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-011,BALVENIE 21YO PORTWOOD  ,3, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200Uwa000000250130701,02/02/2018,หลัก,,,,,,,,,,,,,,,,บาร์เวนนี่  21  ปี  พอร์ตวูด,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-012,BACARDI COCO,5, 1.000 ,32.00%,22084000,รัม,MX,1302020200S10000000200150701,04/07/2018,พิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,5,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,1, 43.33 ,32.8452," 1,423.18 ",1," 1,423.18 ",บาค้าดี้ โคโค้,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-013,BACARDI COCO ,6, 1.000 ,32.00%,22084000,รัม,MX,1302020200S10000000209Bh0701,04/07/2018,พิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,4,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,69, 52.00 ,32.8452," 117,848.58 ",69," 1,707.95 ",บาค้าดี้ โคโค้,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-014,BERINGER CALIFORNIA MERLOT 2014 ,6, 1.500 ,13.00%,22042111,ไวน์,US,1301020100I5H000000300870701,13/11/2018,หลัก,,,,,,,,,,,,,,,,เบรินเจอร์ คาร์ลิฟอร์เนีย เมอลอส  2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-015,BOHEDAL TINTO JOVEN 2013,12, 0.750 ,14.00%,22042111,ไวน์,ES,1301020100GLB000000320140701,01/08/2018,หลัก,,,,,,,,,,,,,,,,บอกดอล ทิลโจโจเว่น 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-016,BOMBAY SAPPHIRE GIN ,12, 0.750 ,47.00%,22085000,จิน,UK,130202020030K000000759AK0701,01/08/2018,หลัก,,,,,,,,,,,,,,,,บอมเบย์จิน 75ซล.,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-017,BRUGAL 1888  ,6, 0.700 ,40.00%,22084000,รัม,DO,1302020200NI7000000250130701,01/08/2018,หลัก,,,,,,,,,,,,,,,,บลูกอล 1888,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-018,BALVENIE 12YO TRIPLE CASK,12, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200PvB000000259Bh0701,11/10/2019,หลัก,JLD02/2020  ,05/02/2020,A0210630204389,21/02/2020,2,2563/0050-63-853-00181,07/02/2020,3-2-42-000175-2563,15/01/2020,10, 430.00 ,30.5822," 131,503.46 ",10," 13,150.35 ",บาร์เวนนี่  12 ปี  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
