ลำดับที่,รหัสสินค้า,รายละเอียดสินค้า,ชื่อภาษาไทย,"ปริมาณขวด
(ต่อ 1 ลัง)","ปริมาณ
ต่อขวด
(ลิตร)","Alcohol
Content",
1,A-001,ALMAVIVA 2015 ,อัลมาวีว่า  2015,6, 0.750 ,14.50%,
2,A-002,ALMAVIVA 2014 ,อัลมาวีว่า  2014,6, 0.750 ,15.00%,
3,A-003,ALMAVIVA VIN CHILIEN 2015,อัลมาวีว่า วิน ชิลิน 2015,6, 0.750 ,14.50%,
4,A-004,ABSOLUT 100 ,แอ็บโซลูท 100,12, 1.000 ,50.00%,
5,A-005,ABSOLUT RUBY RED,แอปโซลูทวอดก้า 1ลิตร,11, 1.000 ,40.00%,
6,A-006,AYITA CABERNET SAUVIGNON SILVER 2012 ,อายิต้า ซิวเวอร์ 2012,12, 0.750 ,13.50%,
7,A-007,AYITA CABERNET SAUVIGNON RED 2013 ,อายิต้า ซิวเวอร์ 2013,12, 0.750 ,13.00%,
8,B-001,BALLANTINE S 12 YO  ,บาเลนไทน์ 12 ปี   1 ลิตร,12, 1.000 ,40.00%,
9,B-002,BALLANTINE S 17 YO,บาเลนไทน์ 17 ปี  0.70 ลิตร,12, 0.700 ,40.00%,
10,B-003,BALLANTINE S  17 YO ,บาเลนไทน์ 17 ปี  0.75 ลิตร,12, 0.750 ,40.00%,
11,B-004,BALLANTINE S  21 YO ,บาเลนไทน์ 21 ปี  0.70 ลิตร,12, 0.700 ,40.00%,
12,B-005,BALLANTINE S 30 YO  ,บาเลนไทน์  30 ปี  0.70 ลิตร,6, 0.700 ,40.00%,
13,B-006,BALLANTINE S FINEST ,บาเลนไทน์ ฟายเนส 0.75 ลิตร,12, 0.750 ,40.00%,
14,B-007,BALLANTINE S FINEST,บาเลนไทน์ ฟายเนส 1 ลิตร,12, 1.000 ,40.00%,
15,B-008,BALVENIE  12YO  DOUBLEWOOD ,บาร์เวนนี่ 12 ปี  1 ลิตร,12, 1.000 ,40.00%,
16,B-009,BALVENIE 14YO CARRIBEAN CASK ,บาร์เวนนี่ 14 ปี  คาริเบน,6, 0.700 ,43.00%,
17,B-010,BALVENIE  17YO  DOUBLEWOOD ,บาร์เวนนี่ 17 ปี  ,6, 0.700 ,43.00%,
18,B-011,BALVENIE  21YO  PORTWOOD  ,บาร์เวนนี่  21  ปี  พอร์ตวูด,3, 0.700 ,40.00%,
19,B-012,BACARDI COCO,บาค้าดี้ โคโค้,5, 1.000 ,32.00%,
20,B-013,BACARDI COCO ,บาค้าดี้ โคโค้,6, 1.000 ,32.00%,
21,B-014,BERINGER CALIFORNIA MERLOT 2014 ,เบรินเจอร์ คาร์ลิฟอร์เนีย เมอลอส  2014,6, 1.500 ,13.00%,
22,B-015,BOHEDAL TINTO JOVEN 2013,บอกดอล ทิลโจโจเว่น 2013,12, 0.750 ,14.00%,
